Year,Country,Temperature,SeaLevel,AgriculturalYield,,
1992,CHL,0.608,89.1,34.6,,
1993,CHL,0.837,89.1,34.6,,
1994,CHL,0.816,89.1,34.6,,
1995,CHL,0.724,89.1,34.6,,
1996,CHL,0.7,89.1,34.6,,
1997,CHL,0.699,89.1,34.6,,
1998,CHL,0.616,89.1,34.6,,
1999,CHL,0.627,89.1,34.6,,
2000,CHL,0.818,89.1,34.6,,
2001,CHL,0.708,89.1,34.6,,
2002,CHL,0.758,89.1,34.6,,
2003,CHL,0.539,89.1,34.6,,
2004,CHL,0.485,89.1,34.6,,
2005,CHL,0.732,89.1,34.6,,
2006,CHL,0.575,89.1,34.6,,
2007,CHL,0.612,89.1,34.6,,
2008,CHL,0.741,89.1,34.6,,
2009,CHL,0.501,89.1,34.6,,
2010,CHL,0.594,89.1,34.6,,
2011,CHL,0.751,89.1,34.6,,
2012,CHL,0.817,89.1,34.6,,
2013,CHL,0.591,89.1,34.6,,
2014,CHL,0.583,89.1,34.6,,
2015,CHL,0.926,89.1,34.6,,
2016,CHL,0.524,89.1,34.6,,
2017,CHL,0.636,89.1,34.6,,
2018,CHL,0.676,89.1,34.6,,
2019,CHL,0.878,89.1,34.6,,
2020,CHL,0.975,89.1,34.6,,
2021,CHL,0.55,89.1,34.6,,
2022,CHL,0.871,89.1,34.6,,
2023,CHL,0.716,89.1,34.6,,
2024,CHL,0.464,89.1,34.6,,
2025,CHL,0.56,89.1,34.6,,
1990,ETH,0.518,89.1,34.6,,
1991,ETH,0.469,89.1,34.6,,
1992,ETH,0.476,89.1,34.6,,
1993,ETH,0.696,89.1,34.6,,
1994,ETH,0.623,89.1,34.6,,
1995,ETH,0.597,89.1,34.6,,
1996,ETH,0.59,89.1,34.6,,
1997,ETH,1.502,89.1,34.6,,
1998,ETH,1.804,89.1,34.6,,
1999,ETH,0.408,89.1,34.6,,
2000,ETH,0.508,89.1,34.6,,
2001,ETH,0.533,89.1,34.6,,
2002,ETH,0.562,89.1,34.6,,
2003,ETH,0.553,89.1,34.6,,
2004,ETH,0.539,89.1,34.6,,
2005,ETH,0.454,89.1,34.6,,
2006,ETH,0.452,89.1,34.6,,
2007,ETH,0.804,89.1,34.6,,
2008,ETH,0.431,89.1,34.6,,
2009,ETH,0.969,89.1,34.6,,
2010,ETH,1.255,89.1,34.6,,
2011,ETH,0.752,89.1,34.6,,
2012,ETH,0.724,89.1,34.6,,
2013,ETH,0.598,89.1,34.6,,
2014,ETH,0.64,89.1,34.6,,
2015,ETH,0.59,89.1,34.6,,
2016,ETH,0.665,89.1,34.6,,
2017,ETH,0.798,89.1,34.6,,
2018,ETH,0.712,89.1,34.6,,
2019,ETH,0.92,89.1,34.6,,
2020,ETH,0.534,89.1,34.6,,
2021,ETH,0.639,89.1,34.6,,
2022,ETH,0.992,89.1,34.6,,
2023,ETH,0.554,89.1,34.6,,
2024,ETH,0.748,89.1,34.6,,
2025,ETH,0.822,89.1,34.6,,
1990,NGA,0.941,89.1,34.6,,
1991,NGA,0.569,89.1,34.6,,
1992,NGA,0.641,89.1,34.6,,
1993,NGA,0.562,89.1,34.6,,
1994,NGA,0.643,89.1,34.6,,
1995,NGA,0.688,89.1,34.6,,
1996,NGA,0.631,89.1,34.6,,
1997,NGA,0.483,89.1,34.6,,
1998,NGA,0.517,89.1,34.6,,
1999,NGA,0.792,89.1,34.6,,
2000,NGA,0.612,89.1,34.6,,
2001,NGA,0.514,89.1,34.6,,
2002,NGA,0.879,89.1,34.6,,
2003,NGA,0.762,89.1,34.6,,
2004,NGA,0.476,89.1,34.6,,
2005,NGA,0.536,89.1,34.6,,
2006,NGA,0.517,89.1,34.6,,
2007,NGA,0.556,89.1,34.6,,
2008,NGA,0.762,89.1,34.6,,
2009,NGA,0.745,89.1,34.6,,
2010,NGA,0.537,89.1,34.6,,
2011,NGA,0.616,89.1,34.6,,
2012,NGA,0.589,89.1,34.6,,
2013,NGA,0.578,89.1,34.6,,
2014,NGA,0.749,89.1,34.6,,
2015,NGA,0.629,89.1,34.6,,
2016,NGA,0.542,89.1,34.6,,
2017,NGA,0.677,89.1,34.6,,
2018,NGA,0.603,89.1,34.6,,
2019,NGA,0.805,89.1,34.6,,
2020,NGA,0.613,89.1,34.6,,
2021,NGA,0.578,89.1,34.6,,
2022,NGA,0.518,89.1,34.6,,
2023,NGA,0.628,89.1,34.6,,
2024,NGA,0.75,89.1,34.6,,
2025,NGA,0.544,89.1,34.6,,
1990,RUS,0.693,89.1,34.6,,
1991,RUS,0.783,89.1,34.6,,
1992,RUS,0.569,89.1,34.6,,
1993,RUS,0.925,89.1,34.6,,
1994,RUS,0.666,89.1,34.6,,
1995,RUS,0.648,89.1,34.6,,
1996,RUS,0.512,89.1,34.6,,
1997,RUS,0.727,89.1,34.6,,
1998,RUS,0.825,89.1,34.6,,
1999,RUS,0.894,89.1,34.6,,
2000,RUS,0.731,89.1,34.6,,
2001,RUS,0.666,89.1,34.6,,
2002,RUS,1.525,89.1,34.6,,
2003,RUS,0.754,89.1,34.6,,
2004,RUS,0.906,89.1,34.6,,
2005,RUS,0.553,89.1,34.6,,
2006,RUS,0.794,89.1,34.6,,
2007,RUS,0.726,89.1,34.6,,
2008,RUS,0.53,89.1,34.6,,
2009,RUS,0.872,89.1,34.6,,
2010,RUS,0.977,89.1,34.6,,
2011,RUS,0.763,89.1,34.6,,
2012,RUS,0.612,89.1,34.6,,
2013,RUS,0.844,89.1,34.6,,
2014,RUS,0.883,89.1,34.6,,
2015,RUS,0.631,89.1,34.6,,
2016,RUS,0.686,89.1,34.6,,
2017,RUS,0.652,89.1,34.6,,
2018,RUS,0.619,89.1,34.6,,
2019,RUS,0.645,89.1,34.6,,
2020,RUS,0.6,89.1,34.6,,
2021,RUS,0.77,89.1,34.6,,
2022,RUS,0.86,89.1,34.6,,
2023,RUS,0.582,89.1,34.6,,
2024,RUS,0.56,89.1,34.6,,
2025,RUS,0.659,89.1,34.6,,
1990,ZMB,0.695,89.1,34.6,,
1991,ZMB,0.77,89.1,34.6,,
1992,ZMB,0.964,89.1,34.6,,
1993,ZMB,0.499,89.1,34.6,,
1994,ZMB,0.781,89.1,34.6,,
1995,ZMB,0.632,89.1,34.6,,
1996,ZMB,0.615,89.1,34.6,,
1997,ZMB,0.703,89.1,34.6,,
1998,ZMB,0.629,89.1,34.6,,
1999,ZMB,0.556,89.1,34.6,,
2000,ZMB,0.53,89.1,34.6,,
2001,ZMB,0.634,89.1,34.6,,
2002,ZMB,0.691,89.1,34.6,,
2003,ZMB,1.004,89.1,34.6,,
2004,ZMB,1.033,89.1,34.6,,
2005,ZMB,0.645,89.1,34.6,,
2006,ZMB,0.537,89.1,34.6,,
2007,ZMB,0.486,89.1,34.6,,
2008,ZMB,0.566,89.1,34.6,,
2009,ZMB,0.78,89.1,34.6,,
2010,ZMB,0.643,89.1,34.6,,
2011,ZMB,0.765,89.1,34.6,,
2012,ZMB,0.637,89.1,34.6,,
2013,ZMB,0.618,89.1,34.6,,
2014,ZMB,0.6,89.1,34.6,,
2015,ZMB,1.36,89.1,34.6,,
2016,ZMB,0.526,89.1,34.6,,
2017,ZMB,0.495,89.1,34.6,,
2018,ZMB,0.484,89.1,34.6,,
2019,ZMB,0.521,89.1,34.6,,
2020,ZMB,0.793,89.1,34.6,,
2021,ZMB,0.66,89.1,34.6,,
2022,ZMB,0.817,89.1,34.6,,
2023,ZMB,0.965,89.1,34.6,,
2024,ZMB,0.461,89.1,34.6,,
2025,ZMB,0.579,89.1,34.6,,
1990,VNM,0.619,89.1,34.6,,
1991,VNM,0.906,89.1,34.6,,
1992,VNM,0.567,89.1,34.6,,
1993,VNM,0.528,89.1,34.6,,
1994,VNM,0.959,89.1,34.6,,
1995,VNM,0.562,89.1,34.6,,
1996,VNM,0.681,89.1,34.6,,
1997,VNM,0.629,89.1,34.6,,
1998,VNM,0.643,89.1,34.6,,
1999,VNM,0.544,89.1,34.6,,
2000,VNM,0.741,89.1,34.6,,
2001,VNM,0.768,89.1,34.6,,
2002,VNM,0.467,89.1,34.6,,
2003,VNM,0.758,89.1,34.6,,
2004,VNM,0.762,89.1,34.6,,
2005,VNM,0.599,89.1,34.6,,
2006,VNM,0.461,89.1,34.6,,
2007,VNM,0.602,89.1,34.6,,
2008,VNM,0.822,89.1,34.6,,
2009,VNM,0.679,89.1,34.6,,
2010,VNM,0.783,89.1,34.6,,
2011,VNM,0.808,89.1,34.6,,
2012,VNM,0.692,89.1,34.6,,
2013,VNM,0.523,89.1,34.6,,
2014,VNM,0.494,89.1,34.6,,
2015,VNM,0.699,89.1,34.6,,
2016,VNM,0.557,89.1,34.6,,
2017,VNM,0.472,89.1,34.6,,
2018,VNM,0.365,89.1,34.6,,
2019,VNM,0.473,89.1,34.6,,
2020,VNM,0.795,89.1,34.6,,
2021,VNM,0.469,89.1,34.6,,
2022,VNM,0.514,89.1,34.6,,
2023,VNM,0.449,89.1,34.6,,
2024,VNM,0.606,89.1,34.6,,
2025,VNM,0.523,89.1,34.6,,
1990,TZA,0.364,89.1,34.6,,
1991,TZA,0.64,89.1,34.6,,
1992,TZA,0.44,89.1,34.6,,
1993,TZA,0.38,89.1,34.6,,
1994,TZA,0.584,89.1,34.6,,
1995,TZA,0.349,89.1,34.6,,
1996,TZA,0.479,89.1,34.6,,
1997,TZA,0.544,89.1,34.6,,
1998,TZA,0.558,89.1,34.6,,
1999,TZA,0.424,89.1,34.6,,
2000,TZA,0.601,89.1,34.6,,
2001,TZA,0.502,89.1,34.6,,
2002,TZA,0.815,89.1,34.6,,
2003,TZA,0.765,89.1,34.6,,
2004,TZA,0.797,89.1,34.6,,
2005,TZA,0.429,89.1,34.6,,
2006,TZA,0.717,89.1,34.6,,
2007,TZA,0.374,89.1,34.6,,
2008,TZA,0.43,89.1,34.6,,
2009,TZA,0.443,89.1,34.6,,
2010,TZA,0.471,89.1,34.6,,
2011,TZA,0.36,89.1,34.6,,
2012,TZA,0.444,89.1,34.6,,
2013,TZA,0.521,89.1,34.6,,
2014,TZA,0.471,89.1,34.6,,
2015,TZA,0.815,89.1,34.6,,
2016,TZA,0.401,89.1,34.6,,
2017,TZA,0.58,89.1,34.6,,
2018,TZA,0.419,89.1,34.6,,
2019,TZA,0.416,89.1,34.6,,
2020,TZA,0.44,89.1,34.6,,
2021,TZA,0.549,89.1,34.6,,
2022,TZA,0.436,89.1,34.6,,
2023,TZA,0.4,89.1,34.6,,
2024,TZA,0.397,89.1,34.6,,
2025,TZA,0.417,89.1,34.6,,
1990,KAZ,0.56,89.1,34.6,,
1991,KAZ,0.925,89.1,34.6,,
1992,KAZ,0.624,89.1,34.6,,
1993,KAZ,0.442,89.1,34.6,,
1994,KAZ,0.544,89.1,34.6,,
1995,KAZ,0.569,89.1,34.6,,
1996,KAZ,0.541,89.1,34.6,,
1997,KAZ,1.221,89.1,34.6,,
1998,KAZ,0.607,89.1,34.6,,
1999,KAZ,0.452,89.1,34.6,,
2000,KAZ,1.161,89.1,34.6,,
2001,KAZ,0.38,89.1,34.6,,
2002,KAZ,0.836,89.1,34.6,,
2003,KAZ,0.749,89.1,34.6,,
2004,KAZ,0.665,89.1,34.6,,
2005,KAZ,0.463,89.1,34.6,,
2006,KAZ,1.766,89.1,34.6,,
2007,KAZ,0.381,89.1,34.6,,
2008,KAZ,0.63,89.1,34.6,,
2009,KAZ,0.497,89.1,34.6,,
2010,KAZ,0.48,89.1,34.6,,
2011,KAZ,0.504,89.1,34.6,,
2012,KAZ,0.416,89.1,34.6,,
2013,KAZ,0.318,89.1,34.6,,
2014,KAZ,0.332,89.1,34.6,,
2015,KAZ,0.693,89.1,34.6,,
2016,KAZ,0.35,89.1,34.6,,
2017,KAZ,0.534,89.1,34.6,,
2018,KAZ,0.434,89.1,34.6,,
2019,KAZ,0.532,89.1,34.6,,
2020,KAZ,0.526,89.1,34.6,,
2021,KAZ,0.431,89.1,34.6,,
2022,KAZ,0.293,89.1,34.6,,
2023,KAZ,0.298,89.1,34.6,,
2024,KAZ,0.377,89.1,34.6,,
2025,KAZ,0.254,89.1,34.6,,
1990,USA,0.293,89.1,34.6,,
1991,USA,0.452,89.1,34.6,,
1992,USA,0.45,89.1,34.6,,
1993,USA,0.393,89.1,34.6,,
1994,USA,0.325,89.1,34.6,,
1995,USA,0.313,89.1,34.6,,
1996,USA,0.386,89.1,34.6,,
1997,USA,0.412,89.1,34.6,,
1998,USA,0.646,89.1,34.6,,
1999,USA,0.538,89.1,34.6,,
2000,USA,0.46,89.1,34.6,,
2001,USA,0.486,89.1,34.6,,
2002,USA,0.442,89.1,34.6,,
2003,USA,0.692,89.1,34.6,,
2004,USA,0.499,89.1,34.6,,
2005,USA,0.552,89.1,34.6,,
2006,USA,0.302,89.1,34.6,,
2007,USA,0.438,89.1,34.6,,
2008,USA,0.372,89.1,34.6,,
2009,USA,0.337,89.1,34.6,,
2010,USA,0.376,89.1,34.6,,
2011,USA,0.472,89.1,34.6,,
2012,USA,0.558,89.1,34.6,,
2013,USA,0.574,89.1,34.6,,
2014,USA,0.598,89.1,34.6,,
2015,USA,0.522,89.1,34.6,,
2016,USA,0.401,89.1,34.6,,
2017,USA,0.755,89.1,34.6,,
2018,USA,0.514,89.1,34.6,,
2019,USA,0.566,89.1,34.6,,
2020,USA,0.784,89.1,34.6,,
2021,USA,0.324,89.1,34.6,,
2022,USA,0.376,89.1,34.6,,
2023,USA,0.487,89.1,34.6,,
2024,USA,0.58,89.1,34.6,,
2025,USA,0.427,89.1,34.6,,
1990,NOR,0.723,89.1,34.6,,
1991,NOR,0.452,89.1,34.6,,
1992,NOR,0.668,89.1,34.6,,
1993,NOR,0.478,89.1,34.6,,
1994,NOR,0.344,89.1,34.6,,
1995,NOR,0.344,89.1,34.6,,
1996,NOR,0.449,89.1,34.6,,
1997,NOR,0.294,89.1,34.6,,
1998,NOR,0.397,89.1,34.6,,
1999,NOR,0.373,89.1,34.6,,
2000,NOR,0.415,89.1,34.6,,
2001,NOR,0.337,89.1,34.6,,
2002,NOR,0.391,89.1,34.6,,
2003,NOR,0.475,89.1,34.6,,
2004,NOR,0.693,89.1,34.6,,
2005,NOR,0.377,89.1,34.6,,
2006,NOR,0.789,89.1,34.6,,
2007,NOR,0.438,89.1,34.6,,
2008,NOR,0.636,89.1,34.6,,
2009,NOR,0.504,89.1,34.6,,
2010,NOR,0.571,89.1,34.6,,
2011,NOR,0.492,89.1,34.6,,
2012,NOR,0.581,89.1,34.6,,
2013,NOR,0.635,89.1,34.6,,
2014,NOR,0.462,89.1,34.6,,
2015,NOR,0.484,89.1,34.6,,
2016,NOR,0.437,89.1,34.6,,
2017,NOR,0.405,89.1,34.6,,
2018,NOR,0.402,89.1,34.6,,
2019,NOR,0.563,89.1,34.6,,
2020,NOR,0.446,89.1,34.6,,
2021,NOR,0.549,89.1,34.6,,
2022,NOR,0.487,89.1,34.6,,
2023,NOR,0.62,89.1,34.6,,
2024,NOR,0.833,89.1,34.6,,
2025,NOR,0.587,89.1,34.6,,
1990,GHA,0.595,89.1,34.6,,
1991,GHA,0.556,89.1,34.6,,
1992,GHA,0.3,89.1,34.6,,
1993,GHA,0.377,89.1,34.6,,
1994,GHA,0.523,89.1,34.6,,
1995,GHA,0.566,89.1,34.6,,
1996,GHA,0.608,89.1,34.6,,
1997,GHA,0.478,89.1,34.6,,
1998,GHA,0.566,89.1,34.6,,
1999,GHA,0.533,89.1,34.6,,
2000,GHA,0.581,89.1,34.6,,
2001,GHA,0.608,89.1,34.6,,
2002,GHA,0.563,89.1,34.6,,
2003,GHA,0.843,89.1,34.6,,
2004,GHA,0.476,89.1,34.6,,
2005,GHA,0.653,89.1,34.6,,
2006,GHA,1.096,89.1,34.6,,
2007,GHA,0.776,89.1,34.6,,
2008,GHA,0.403,89.1,34.6,,
2009,GHA,1.199,89.1,34.6,,
2010,GHA,1.002,89.1,34.6,,
2011,GHA,1.023,89.1,34.6,,
2012,GHA,0.875,89.1,34.6,,
2013,GHA,0.416,89.1,34.6,,
2014,GHA,0.418,89.1,34.6,,
2015,GHA,0.464,89.1,34.6,,
2016,GHA,0.532,89.1,34.6,,
2017,GHA,0.425,89.1,34.6,,
2018,GHA,0.416,89.1,34.6,,
2019,GHA,0.559,89.1,34.6,,
2020,GHA,1.147,89.1,34.6,,
2021,GHA,0.55,89.1,34.6,,
2022,GHA,0.654,89.1,34.6,,
2023,GHA,0.303,89.1,34.6,,
2024,GHA,0.466,89.1,34.6,,
2025,GHA,0.27,89.1,34.6,,
1990,BGD,0.531,89.1,34.6,,
1991,BGD,0.42,89.1,34.6,,
1992,BGD,0.455,89.1,34.6,,
1993,BGD,0.482,89.1,34.6,,
1994,BGD,0.493,89.1,34.6,,
1995,BGD,0.444,89.1,34.6,,
1996,BGD,0.755,89.1,34.6,,
1997,BGD,0.384,89.1,34.6,,
1998,BGD,0.376,89.1,34.6,,
1999,BGD,0.339,89.1,34.6,,
2000,BGD,0.459,89.1,34.6,,
2001,BGD,0.541,89.1,34.6,,
2002,BGD,0.582,89.1,34.6,,
2003,BGD,0.562,89.1,34.6,,
2004,BGD,0.506,89.1,34.6,,
2005,BGD,0.325,89.1,34.6,,
2006,BGD,0.496,89.1,34.6,,
2007,BGD,0.328,89.1,34.6,,
2008,BGD,0.451,89.1,34.6,,
2009,BGD,0.635,89.1,34.6,,
2010,BGD,0.456,89.1,34.6,,
2011,BGD,0.316,89.1,34.6,,
2012,BGD,0.355,89.1,34.6,,
2013,BGD,0.698,89.1,34.6,,
2014,BGD,0.46,89.1,34.6,,
2015,BGD,0.68,89.1,34.6,,
2016,BGD,0.317,89.1,34.6,,
2017,BGD,0.505,89.1,34.6,,
2018,BGD,0.341,89.1,34.6,,
2019,BGD,0.331,89.1,34.6,,
2020,BGD,0.448,89.1,34.6,,
2021,BGD,0.729,89.1,34.6,,
2022,BGD,0.426,89.1,34.6,,
2023,BGD,0.293,89.1,34.6,,
2024,BGD,0.291,89.1,34.6,,
2025,BGD,0.324,89.1,34.6,,
1990,SSA,0.352,89.1,34.6,,
1991,SSA,0.472,89.1,34.6,,
1992,SSA,0.529,89.1,34.6,,
1993,SSA,0.473,89.1,34.6,,
1994,SSA,0.413,89.1,34.6,,
1995,SSA,0.248,89.1,34.6,,
1996,SSA,0.334,89.1,34.6,,
1997,SSA,0.385,89.1,34.6,,
1998,SSA,0.531,89.1,34.6,,
1999,SSA,0.247,89.1,34.6,,
2000,SSA,0.363,89.1,34.6,,
2001,SSA,0.468,89.1,34.6,,
2002,SSA,0.343,89.1,34.6,,
2003,SSA,0.329,89.1,34.6,,
2004,SSA,0.312,89.1,34.6,,
2005,SSA,0.3,89.1,34.6,,
2006,SSA,0.284,89.1,34.6,,
2007,SSA,0.391,89.1,34.6,,
2008,SSA,0.39,89.1,34.6,,
2009,SSA,0.283,89.1,34.6,,
2010,SSA,0.381,89.1,34.6,,
2011,SSA,0.335,89.1,34.6,,
2012,SSA,0.547,89.1,34.6,,
2013,SSA,0.299,89.1,34.6,,
2014,SSA,0.365,89.1,34.6,,
2015,SSA,0.266,89.1,34.6,,
2016,SSA,0.373,89.1,34.6,,
2017,SSA,0.281,89.1,34.6,,
2018,SSA,0.26,89.1,34.6,,
2019,SSA,0.419,89.1,34.6,,
2020,SSA,0.245,89.1,34.6,,
2021,SSA,0.439,89.1,34.6,,
2022,SSA,0.288,89.1,34.6,,
2023,SSA,0.42,89.1,34.6,,
2024,SSA,0.358,89.1,34.6,,
2025,SSA,0.382,89.1,34.6,,
1990,SDN,0.304,89.1,34.6,,
1991,SDN,0.433,89.1,34.6,,
1992,SDN,0.296,89.1,34.6,,
1993,SDN,0.358,89.1,34.6,,
1994,SDN,0.319,89.1,34.6,,
1995,SDN,0.316,89.1,34.6,,
1996,SDN,0.347,89.1,34.6,,
1997,SDN,0.244,89.1,34.6,,
1998,SDN,0.39,89.1,34.6,,
1999,SDN,0.63,89.1,34.6,,
2000,SDN,0.42,89.1,34.6,,
2001,SDN,0.374,89.1,34.6,,
2002,SDN,0.241,89.1,34.6,,
2003,SDN,0.289,89.1,34.6,,
2004,SDN,0.326,89.1,34.6,,
2005,SDN,0.411,89.1,34.6,,
2006,SDN,0.424,89.1,34.6,,
2007,SDN,0.467,89.1,34.6,,
2008,SDN,0.362,89.1,34.6,,
2009,SDN,0.433,89.1,34.6,,
2010,SDN,0.327,89.1,34.6,,
2011,SDN,0.279,89.1,34.6,,
2012,SDN,0.357,89.1,34.6,,
2013,SDN,0.407,89.1,34.6,,
2014,SDN,0.498,89.1,34.6,,
2015,SDN,0.359,89.1,34.6,,
2016,SDN,0.487,89.1,34.6,,
2017,SDN,0.521,89.1,34.6,,
2018,SDN,0.662,89.1,34.6,,
2019,SDN,0.339,89.1,34.6,,
2020,SDN,0.54,89.1,34.6,,
2021,SDN,0.497,89.1,34.6,,
2022,SDN,0.361,89.1,34.6,,
2023,SDN,0.375,89.1,34.6,,
2024,SDN,0.453,89.1,34.6,,
2025,SDN,0.236,89.1,34.6,,
1990,CAN,0.499,89.1,34.6,,
1991,CAN,0.386,89.1,34.6,,
1992,CAN,0.496,89.1,34.6,,
1993,CAN,0.587,89.1,34.6,,
1994,CAN,0.475,89.1,34.6,,
1995,CAN,0.277,89.1,34.6,,
1996,CAN,0.481,89.1,34.6,,
1997,CAN,0.385,89.1,34.6,,
1998,CAN,0.335,89.1,34.6,,
1999,CAN,0.371,89.1,34.6,,
2000,CAN,0.383,89.1,34.6,,
2001,CAN,0.455,89.1,34.6,,
2002,CAN,0.457,89.1,34.6,,
2003,CAN,0.606,89.1,34.6,,
2004,CAN,0.389,89.1,34.6,,
2005,CAN,0.324,89.1,34.6,,
2006,CAN,0.322,89.1,34.6,,
2007,CAN,0.26,89.1,34.6,,
2008,CAN,0.372,89.1,34.6,,
2009,CAN,0.4,89.1,34.6,,
2010,CAN,0.402,89.1,34.6,,
2011,CAN,0.48,89.1,34.6,,
2012,CAN,0.526,89.1,34.6,,
2013,CAN,0.231,89.1,34.6,,
2014,CAN,0.389,89.1,34.6,,
2015,CAN,0.416,89.1,34.6,,
2016,CAN,0.494,89.1,34.6,,
2017,CAN,0.408,89.1,34.6,,
2018,CAN,0.527,89.1,34.6,,
2019,CAN,0.4,89.1,34.6,,
2020,CAN,0.281,89.1,34.6,,
2021,CAN,0.311,89.1,34.6,,
2022,CAN,0.368,89.1,34.6,,
2023,CAN,0.292,89.1,34.6,,
2024,CAN,0.404,89.1,34.6,,
2025,CAN,0.63,89.1,34.6,,
1990,GHA,0.61,89.1,34.6,,
1991,GHA,0.415,89.1,34.6,,
1992,GHA,0.343,89.1,34.6,,
1993,GHA,0.256,89.1,34.6,,
1994,GHA,0.312,89.1,34.6,,
1995,GHA,0.457,89.1,34.6,,
1996,GHA,0.489,89.1,34.6,,
1997,GHA,0.342,89.1,34.6,,
1998,GHA,0.339,89.1,34.6,,
1999,GHA,0.51,89.1,34.6,,
2000,GHA,0.399,89.1,34.6,,
2001,GHA,0.425,89.1,34.6,,
2002,GHA,0.316,89.1,34.6,,
2003,GHA,0.387,89.1,34.6,,
2004,GHA,0.654,89.1,34.6,,
2005,GHA,0.316,89.1,34.6,,
2006,GHA,0.409,89.1,34.6,,
2007,GHA,0.287,89.1,34.6,,
2008,GHA,0.408,89.1,34.6,,
2009,GHA,0.326,89.1,34.6,,
2010,GHA,0.414,89.1,34.6,,
2011,GHA,0.477,89.1,34.6,,
2012,GHA,0.37,89.1,34.6,,
2013,GHA,0.59,89.1,34.6,,
2014,GHA,0.34,89.1,34.6,,
2015,GHA,0.287,89.1,34.6,,
2016,GHA,0.46,89.1,34.6,,
2017,GHA,0.325,89.1,34.6,,
2018,GHA,0.381,89.1,34.6,,
2019,GHA,0.407,89.1,34.6,,
2020,GHA,0.439,89.1,34.6,,
2021,GHA,0.467,89.1,34.6,,
2022,GHA,0.563,89.1,34.6,,
2023,GHA,0.366,89.1,34.6,,
2024,GHA,0.367,89.1,34.6,,
2025,GHA,0.347,89.1,34.6,,
1990,BGD,0.418,89.1,34.6,,
1991,BGD,0.293,89.1,34.6,,
1992,BGD,0.345,89.1,34.6,,
1993,BGD,0.367,89.1,34.6,,
1994,BGD,0.442,89.1,34.6,,
1995,BGD,0.448,89.1,34.6,,
1996,BGD,0.414,89.1,34.6,,
1997,BGD,0.791,89.1,34.6,,
1998,BGD,0.471,89.1,34.6,,
1999,BGD,0.359,89.1,34.6,,
2000,BGD,0.449,89.1,34.6,,
2001,BGD,0.521,89.1,34.6,,
2002,BGD,0.765,89.1,34.6,,
2003,BGD,0.416,89.1,34.6,,
2004,BGD,0.465,89.1,34.6,,
2005,BGD,0.532,89.1,34.6,,
2006,BGD,0.283,89.1,34.6,,
2007,BGD,0.437,89.1,34.6,,
2008,BGD,0.419,89.1,34.6,,
2009,BGD,0.446,89.1,34.6,,
2010,BGD,0.655,89.1,34.6,,
2011,BGD,0.418,89.1,34.6,,
2012,BGD,0.357,89.1,34.6,,
2013,BGD,0.345,89.1,34.6,,
2014,BGD,0.601,89.1,34.6,,
2015,BGD,0.396,89.1,34.6,,
2016,BGD,0.345,89.1,34.6,,
2017,BGD,0.252,89.1,34.6,,
2018,BGD,0.298,89.1,34.6,,
2019,BGD,0.508,89.1,34.6,,
2020,BGD,0.385,89.1,34.6,,
2021,BGD,0.337,89.1,34.6,,
2022,BGD,0.43,89.1,34.6,,
2023,BGD,0.306,89.1,34.6,,
2024,BGD,0.416,89.1,34.6,,
2025,BGD,0.531,89.1,34.6,,
1990,NOR,0.342,89.1,34.6,,
1991,NOR,0.692,89.1,34.6,,
1992,NOR,0.41,89.1,34.6,,
1993,NOR,0.411,89.1,34.6,,
1994,NOR,0.764,89.1,34.6,,
1995,NOR,0.625,89.1,34.6,,
1996,NOR,0.325,89.1,34.6,,
1997,NOR,0.478,89.1,34.6,,
1998,NOR,0.587,89.1,34.6,,
1999,NOR,0.371,89.1,34.6,,
2000,NOR,0.304,89.1,34.6,,
2001,NOR,0.481,89.1,34.6,,
2002,NOR,0.614,89.1,34.6,,
2003,NOR,0.345,89.1,34.6,,
2004,NOR,0.369,89.1,34.6,,
2005,NOR,0.395,89.1,34.6,,
2006,NOR,0.355,89.1,34.6,,
2007,NOR,0.339,89.1,34.6,,
2008,NOR,0.485,89.1,34.6,,
2009,NOR,0.442,89.1,34.6,,
2010,NOR,0.532,89.1,34.6,,
2011,NOR,0.498,89.1,34.6,,
2012,NOR,0.435,89.1,34.6,,
2013,NOR,0.464,89.1,34.6,,
2014,NOR,0.576,89.1,34.6,,
2015,NOR,0.286,89.1,34.6,,
2016,NOR,0.648,89.1,34.6,,
2017,NOR,0.344,89.1,34.6,,
2018,NOR,0.319,89.1,34.6,,
2019,NOR,0.763,89.1,34.6,,
2020,NOR,0.408,89.1,34.6,,
2021,NOR,0.519,89.1,34.6,,
2022,NOR,0.439,89.1,34.6,,
2023,NOR,0.383,89.1,34.6,,
2024,NOR,0.477,89.1,34.6,,
2025,NOR,0.494,89.1,34.6,,
1990,PAK,0.376,89.1,34.6,,
1991,PAK,0.473,89.1,34.6,,
1992,PAK,0.705,89.1,34.6,,
1993,PAK,0.475,89.1,34.6,,
1994,PAK,0.486,89.1,34.6,,
1995,PAK,1.023,89.1,34.6,,
1996,PAK,0.587,89.1,34.6,,
1997,PAK,0.492,89.1,34.6,,
1998,PAK,0.578,89.1,34.6,,
1999,PAK,0.416,89.1,34.6,,
2000,PAK,0.44,89.1,34.6,,
2001,PAK,0.413,89.1,34.6,,
2002,PAK,0.514,89.1,34.6,,
2003,PAK,0.41,89.1,34.6,,
2004,PAK,0.564,89.1,34.6,,
2005,PAK,0.352,89.1,34.6,,
2006,PAK,0.447,89.1,34.6,,
